source_id,method,year,authors_short,title,venue,arxiv_id,url,note
vaswani2017,Transformer (full-attention baseline),2017,Vaswani et al.,Attention is all you need,"NeurIPS 30, 5998-6008",,https://papers.nips.cc/paper/7181-attention-is-all-you-need,
dao2022,FlashAttention-2/3,2022,Dao et al.,FlashAttention: Fast and memory-efficient exact attention with IO-awareness,"NeurIPS 35, 16344-16359",arXiv:2205.14135,https://arxiv.org/abs/2205.14135,
dao2024,FlashAttention-2/3,2024,Dao,FlashAttention-2: Faster attention with better parallelism and work partitioning,ICLR,,https://openreview.net/forum?id=mZn2Xyh9Ec,
shah2024,FlashAttention-2/3,2024,Shah et al.,FlashAttention-3: Fast and accurate attention with asynchrony and low-precision,NeurIPS 2024,,https://proceedings.neurips.cc/paper_files/paper/2024/hash/7ede97c3e082c6df10a8d6103a2eebd2-Abstract-Conference.html,
daogu2024,Mamba-2 (SSD),2024,Dao & Gu,Transformers are SSMs: Generalized models and efficient algorithms through structured state space duality,"ICML, 10041-10071",,https://proceedings.mlr.press/v235/dao24a.html,
gudao2024,Mamba,2024,Gu & Dao,Mamba: Linear-time sequence modeling with selective state spaces,COLM,,https://openreview.net/forum?id=tEYskw1VY2,
ainslie2023,GQA,2023,Ainslie et al.,GQA: Training generalized multi-query transformer models from multi-head checkpoints,EMNLP 2023,,https://aclanthology.org/2023.emnlp-main.298,
shazeer2019,MQA,2019,Shazeer,Fast transformer decoding: One write-head is all you need,arXiv preprint,arXiv:1911.02150,https://arxiv.org/abs/1911.02150,
kwon2023,PagedAttention,2023,Kwon et al.,Efficient memory management for large language model serving with PagedAttention,SOSP 2023,,https://doi.org/10.1145/3600006.3613165,
liu2024a,Ring Attention,2024,Liu et al.,Ring attention with blockwise transformers for near-infinite context,ICLR 2024,,https://openreview.net/forum?id=4po1ygKu5b,
beltagy2020,Longformer,2020,Beltagy et al.,Longformer: The long-document transformer,arXiv preprint,arXiv:2004.05150,https://arxiv.org/abs/2004.05150,
zaheer2020,BigBird,2020,Zaheer et al.,Big Bird: Transformers for longer sequences,NeurIPS 33,arXiv:2007.14062,https://arxiv.org/abs/2007.14062,
child2019,Sparse Transformer,2019,Child et al.,Generating long sequences with sparse transformers,arXiv preprint,arXiv:1904.10509,https://arxiv.org/abs/1904.10509,
roy2021,Routing Transformer,2021,Roy et al.,Efficient content-based sparse attention with routing transformers,"TACL 9, 53-68",,https://doi.org/10.1162/tacl_a_00353,
kitaev2020,Reformer,2020,Kitaev et al.,Reformer: The efficient transformer,ICLR,,https://openreview.net/forum?id=rkgNKkHtvB,
choromanski2021,Performer,2021,Choromanski et al.,Rethinking attention with performers,ICLR,,https://openreview.net/forum?id=Ua6zuk0WRH,
wang2020,Linformer,2020,Wang et al.,Linformer: Self-attention with linear complexity,arXiv preprint,arXiv:2006.04768,https://arxiv.org/abs/2006.04768,
beck2024,xLSTM,2024,Beck et al.,xLSTM: Extended long short-term memory,NeurIPS 37,arXiv:2405.04517,https://arxiv.org/abs/2405.04517,
poli2023,Hyena,2023,Poli et al.,Hyena hierarchy: Towards larger convolutional language models,"ICML, 28006-28026",,https://proceedings.mlr.press/v202/poli23a.html,
peng2023a,RWKV,2023,Peng et al.,RWKV: Reinventing RNNs for the transformer era,Findings of ACL: EMNLP 2023,,https://aclanthology.org/2023.findings-emnlp.936,
yao2026,Focus,2026,Yao et al.,Composing Sparse Attention via Learned Grouping,arXiv preprint (mid-2026),arXiv:2604.03260v2,https://arxiv.org/abs/2604.03260,Focus and DashAttention were mid-2026 preprints at the literature cutoff; peer-review status noted in the manuscript
huang2026,DashAttention,2026,Huang et al.,DashAttention: Differentiable and adaptive sparse hierarchical attention,arXiv preprint (mid-2026),arXiv:2605.18753,https://arxiv.org/abs/2605.18753,Focus and DashAttention were mid-2026 preprints at the literature cutoff; peer-review status noted in the manuscript
liu2021,Swin Transformer,2021,Liu et al.,Swin transformer: Hierarchical vision transformer using shifted windows,ICCV,,https://doi.org/10.1109/ICCV48922.2021.00986,
