method,source_id,architectural_layer,scored_in_panel,note
Transformer,vaswani2017,Full Attention,yes,panel row 1 of 21 (Table 4 order)
FlashAttention-2/3,dao2022,IO-Aware,yes,panel row 2 of 21 (Table 4 order)
GQA,ainslie2023,Dense (KV-efficient),yes,panel row 3 of 21 (Table 4 order)
MQA,shazeer2019,Dense (KV-efficient),yes,panel row 4 of 21 (Table 4 order)
PagedAttention,kwon2023,IO-Aware,yes,panel row 5 of 21 (Table 4 order)
Ring Attention,liu2024a,IO-Aware,yes,panel row 6 of 21 (Table 4 order)
Longformer,beltagy2020,Sparse/Window,yes,panel row 7 of 21 (Table 4 order)
BigBird,zaheer2020,Sparse/Window,yes,panel row 8 of 21 (Table 4 order)
Sparse Transformer,child2019,Sparse/Window,yes,panel row 9 of 21 (Table 4 order)
Routing Transformer,roy2021,Sparse / Routing,yes,panel row 10 of 21 (Table 4 order)
Reformer,kitaev2020,Sparse / Hashing,yes,panel row 11 of 21 (Table 4 order)
Performer,choromanski2021,Linear/Kernel,yes,panel row 12 of 21 (Table 4 order)
Linformer,wang2020,Linear/Kernel,yes,panel row 13 of 21 (Table 4 order)
xLSTM,beck2024,Recurrent,yes,panel row 14 of 21 (Table 4 order)
Mamba,gudao2024,State-Space,yes,panel row 15 of 21 (Table 4 order)
Mamba-2 (SSD),daogu2024,Structured SSM,yes,panel row 16 of 21 (Table 4 order)
Hyena,poli2023,Long Convolution,yes,panel row 17 of 21 (Table 4 order)
RWKV,peng2023a,Recurrent,yes,panel row 18 of 21 (Table 4 order)
Focus,yao2026,Adaptive,yes,panel row 19 of 21 (Table 4 order)
DashAttention,huang2026,Adaptive,yes,panel row 20 of 21 (Table 4 order)
Swin Transformer,liu2021,Sparse/Window,yes,panel row 21 of 21 (Table 4 order)
